edited_name,PrimaryTrentepohliales
Allocetraria_sinensis,0
Allocetraria_stracheyi,0
Arctocetraria_andrejevii,0
Arctocetraria_nigricascens,0
Cetraria_aculeata,0
Cetraria_annae,0
Cetraria_arenaria,0
Cetraria_australiensis,0
Cetraria_crespoae,0
Cetraria_ericetorum,0
Cetraria_islandica,0
Cetraria_kamtczatica,0
Cetraria_laevigata,0
Cetraria_muricata,0
Cetraria_nigricans,0
Cetraria_obtusata,0
Cetraria_odontella,0
Cetraria_sepincola,0
Cetrariella_commixta,0
Cetrariella_delisei,0
Cetrariella_fastigiata,0
Cetreliopsis_asahinae,0
Cetreliopsis_laeteflava,0
Cetreliopsis_rhytidocarpa,0
Dactylina_arctica,0
Esslingeriana_idahoensis,0
Flavocetraria_cucullata,0
Flavocetraria_minuscula,0
Flavocetraria_nivalis,0
Kaernefeltia_californica,0
Kaernefeltia_merrillii,0
Masonhalea_inermis,0
Masonhalea_richardsonii,0
Melanelia_hepatizon,0
Melanelia_sorediella,0
Melanelia_stygia,0
Nephromopsis_ahtii,0
Nephromopsis_komarovii,0
Nephromopsis_laureri,0
Nephromopsis_leucostigma,0
Nephromopsis_melaloma,0
Nephromopsis_morrisonicola,0
Nephromopsis_nephromoides,0
Nephromopsis_ornata,0
Nephromopsis_pallescens,0
Nephromopsis_pseudocomplicata,0
Nephromopsis_stracheyi,0
Tuckermanella_coralligera,0
Tuckermanella_fendleri,0
Tuckermanella_weberi,0
Tuckermannopsis_americana,0
Tuckermannopsis_chlorophylla,0
Tuckermannopsis_ciliaris,0
Tuckermannopsis_orbata,0
Tuckermannopsis_platyphylla,0
Tuckermannopsis_subalpina,0
Usnocetraria_oakesiana,0
Vulpicida_canadensis,0
Vulpicida_juniperinus,0
Vulpicida_pinastri,0
Vulpicida_tilesii,0
Vulpicida_tubulosus,0
Vulpicida_viridis,0
Coelopogon_abraxas,0
Coelopogon_epiphorellus,0
Cornicularia_normoerica,0
Evernia_divaricata,0
Evernia_esorediosa,0
Evernia_mesomorpha,0
Evernia_prunastri,0
Everniopsis_trulla,0
Gowardia_arctica,0
Gowardia_nigricans,0
Himantormia_deusta,0
Himantormia_lugubris,0
Hypogymnia_antarctica,0
Hypogymnia_apinnata,0
Hypogymnia_austerodes,0
